RHUID, HousingCategory, Location, StayPeriod, CostPerBed, Capacity, EmergencyCapacity, ShortTermBeds, Address, Phone, Email, Contact, ManagementGroup, Gender, Licensees, SuitableForSexOffenders, NighttimeCurfew, WeekendCurfew, MedicalServiceAccess, TransportLinks, CulturalReligeousServices, MentalHealthSuitable, Employment, FamilyAccess, FutureExpansion1, FutureExpansion2, FutureExpansion3, StudentSuggested1, StudentSuggested2, Notes, 
10, D, X18Y6551, 365, 31.54, 28, 42, 1, Studio 7Ahmed LightLake JohnW49 0UN, 2099563, RHU10@email.com, Leonard Roberts, [], Male, [], True, True, True, True, Rail, Chapel + Prayer room, True, True, True, [], [], [], [], [], [], 
11, D, X4077Y9417, 90, 88.15, 28, 55, 8, Studio 36Kayleigh CircleJonesvilleBT0E 5RB, 5468641, RHU11@email.com, Natalie Edwards, [], Female, [], False, True, True, False, Rail, Prayer room, False, False, True, [], [], [], [], [], [], 
12, C, X1342Y5787, 365, 60.88, 28, 38, 10, Flat 02pBrown FallsNaomifurtIG21 5JL, 8667741, RHU12@email.com, Debra Banks, [], Mixed, [], True, True, False, False, None, None, False, False, False, [], [], [], [], [], [], 
13, B, X5700Y556, 90, 53.5, 28, 50, 2, Flat 8Cartwright PassageWest MichaelSR6 4SH, 6783667, RHU13@email.com, Dr Jane Quinn, [], Female, [], False, True, True, True, Rail + Bus, Prayer room, True, True, True, [], [], [], [], [], [], 
14, D, X6575Y2201, 180, 28.57, 28, 56, 2, Studio 3Sharp RoadSouth DanielleviewL1T 0WX, 4482373, RHU14@email.com, Mrs Cheryl Brown, [], Male, [], True, True, False, False, Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
15, C, X146Y5068, 365, 75.72, 28, 62, 8, Studio 2Alison SquareNorth ChloetonSL90 7YY, 7458749, RHU15@email.com, Charlie Moore-Reed, [], Female, [], False, True, True, True, Rail, Chapel, False, False, False, [], [], [], [], [], [], 
16, D, X3390Y3819, 90, 74.52, 28, 42, 1, Studio 2Brennan ViewsHilaryfurtN7T 0EY, 6333903, RHU16@email.com, Joyce Cooper, [], Female, [], True, True, True, False, Rail, Chapel, False, False, True, [], [], [], [], [], [], 
17, B, X7922Y4346, 90, 39.98, 28, 61, 6, Studio 12Dixon SummitWilliamsbergSW81 0DF, 6993166, RHU17@email.com, Ms Victoria Hudson, [], Male, [], True, True, False, True, Bus, None, True, True, False, [], [], [], [], [], [], 
18, B, X7471Y4059, 365, 33.80, 28, 60, 7, Flat 44Cartwright FallsWest LauraM1A 8HL, 1204233, RHU18@email.com, Lynda Wood, [], Mixed, [], False, False, False, False, Rail, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
19, A, X1148Y914, 90, 42.62, 28, 64, 3, Studio 45vMarcus StreamPalmerviewML7 9ZN, 8866086, RHU19@email.com, Stephanie Riley, [], Female, [], False, False, True, True, Rail + Bus, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
20, B, X5077Y5161, 90, 97.85, 28, 76, 3, Studio 46qJones LightsSouth EileenB4F 3JZ, 6036239, RHU20@email.com, Mrs Elizabeth Jones, [], Female, [], False, True, False, True, Rail + Bus, Chapel + Prayer room, False, True, True, [], [], [], [], [], [], 
21, A, X3769Y3281, 180, 20.92, 28, 58, 4, 500 Katie RapidBlackmouthKY63 1LJ, 8302170, RHU21@email.com, Simon Walker, [], Female, [], False, True, False, True, None, Chapel, False, False, False, [], [], [], [], [], [], 
22, A, X5245Y1162, 60, 41.26, 28, 62, 2, Studio 8Clements ViewValeriechesterN7D 2TQ, 1232923, RHU22@email.com, Mrs Josephine Ellis, [], Male, [], True, True, True, True, Rail, None, False, True, False, [], [], [], [], [], [], 
23, C, X4625Y3054, 365, 61.55, 28, 66, 6, Studio 8Francis LodgeRoberttownKY5 5DQ, 2307361, RHU23@email.com, Ms Tracey Morton, [], Male, [], True, False, True, True, Rail + Bus, None, False, True, True, [], [], [], [], [], [], 
24, D, X8997Y5579, 60, 98.92, 28, 55, 2, Flat 8Rebecca HavenNew MarieLA5E 1AP, 7545378, RHU24@email.com, Kevin Howard, [], Female, [], True, True, True, True, Rail, Prayer room, True, False, False, [], [], [], [], [], [], 
25, A, X6987Y9091, 90, 59.89, 28, 76, 9, 5 David PortsSouth ThomasCF5 8DX, 1611519, RHU25@email.com, Marie Lowe, [], Male, [], True, False, True, True, Rail, Chapel + Prayer room, False, True, False, [], [], [], [], [], [], 
26, B, X7201Y4291, 180, 93.95, 28, 45, 1, Studio 00Danny StreetSouth SamanthaN42 8UH, 6779274, RHU26@email.com, Ms Jean Naylor, [], Male, [], True, False, False, True, Rail + Bus, Chapel + Prayer room, True, False, True, [], [], [], [], [], [], 
27, B, X8868Y3250, 180, 12.49, 28, 54, 7, 91 Roberts SummitNorth ArthurvilleS1 0ZH, 6956801, RHU27@email.com, Liam Allen, [], Mixed, [], False, True, False, True, None, Chapel, False, False, True, [], [], [], [], [], [], 
28, C, X4334Y7471, 365, 95.38, 28, 68, 5, 4 Lowe MountWest SimonS8C 4YF, 5042156, RHU28@email.com, David Holmes, [], Female, [], True, True, False, True, Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
29, A, X3568Y447, 365, 67.74, 28, 52, 10, 9 Brown LightNorth KimberleyviewE6K 1NB, 3885845, RHU29@email.com, Jonathan Holland, [], Female, [], False, False, False, False, None, Chapel + Prayer room, False, False, False, [], [], [], [], [], [], 
30, D, X5658Y880, 365, 63.10, 28, 71, 8, Studio 21JIrene LakeDeclanhavenM16 9TX, 5225362, RHU30@email.com, Iain Ball, [], Mixed, [], True, True, True, False, Rail, Chapel + Prayer room, True, False, False, [], [], [], [], [], [], 
31, C, X7682Y3543, 90, 68.17, 28, 62, 4, 99 Dixon LocksNorth JordanmouthG5E 7RN, 2646846, RHU31@email.com, Linda Baker, [], Male, [], False, True, True, False, Rail, Chapel, False, False, True, [], [], [], [], [], [], 
32, D, X5473Y1792, 90, 33.70, 28, 62, 6, Flat 3Hall FortNew EricL8B 8UH, 8224779, RHU32@email.com, Mrs Lauren Lord, [], Mixed, [], False, False, True, False, Rail + Bus, Chapel + Prayer room, True, False, False, [], [], [], [], [], [], 
33, C, X8180Y6956, 60, 72.16, 28, 50, 4, Studio 90HThompson CurveJordanlandSN6 5SB, 9838229, RHU33@email.com, Mr Liam Parker, [], Mixed, [], True, True, False, True, Rail + Bus, None, True, False, False, [], [], [], [], [], [], 
34, B, X1515Y3830, 90, 89.62, 28, 67, 10, Flat 7Lawrence LoopEast AlexanderviewS6S 4FZ, 7591763, RHU34@email.com, Shirley Robinson, [], Mixed, [], False, True, True, True, None, Chapel + Prayer room, False, True, False, [], [], [], [], [], [], 
35, A, X7589Y6975, 90, 59.88, 28, 59, 1, 131 Bryan CourtsEast JuliaW08 8EP, 8675393, RHU35@email.com, Gerald Ali, [], Male, [], True, True, False, True, Bus, Chapel + Prayer room, True, False, False, [], [], [], [], [], [], 
36, A, X3717Y5470, 180, 33.31, 28, 67, 8, 9 Phillip KnollCarolefortS3J 9WQ, 4747113, RHU36@email.com, Stacey Lewis-Doherty, [], Mixed, [], False, False, False, True, Bus, None, False, True, True, [], [], [], [], [], [], 
37, D, X9191Y5637, 180, 34.6, 28, 78, 10, Flat 3Williams FieldsEast DenisfortPA3V 3ER, 6216585, RHU37@email.com, Dr Stuart Randall, [], Mixed, [], True, False, True, True, Rail, Chapel + Prayer room, True, False, True, [], [], [], [], [], [], 
38, D, X4463Y863, 90, 22.35, 28, 43, 10, 1 Maureen GardensAshleighburyKA6 2AL, 6989460, RHU38@email.com, Mr Henry Lambert, [], Male, [], True, True, True, False, Bus, Prayer room, True, False, False, [], [], [], [], [], [], 
39, A, X5435Y9667, 90, 59.4, 28, 45, 1, 6 Whittaker PointLake VanessaviewL3H 5DE, 8765283, RHU39@email.com, Jake Williams, [], Female, [], True, True, False, True, Bus, Prayer room, False, False, True, [], [], [], [], [], [], 
40, D, X5355Y9644, 60, 74.33, 28, 41, 8, 2 Jessica TrailWest BrettlandL3J 6JJ, 2914368, RHU40@email.com, Dale Johnston, [], Mixed, [], False, True, False, False, Rail + Bus, Prayer room, False, False, True, [], [], [], [], [], [], 
41, B, X6446Y3491, 365, 29.26, 28, 73, 4, Flat 2Pearson LightsNew KieranmouthM3 7JE, 2696521, RHU41@email.com, Graeme Gill, [], Male, [], False, True, False, False, Rail + Bus, Chapel, True, True, False, [], [], [], [], [], [], 
42, D, X2129Y7237, 180, 47.38, 28, 42, 10, 09 Susan GlenWest PamelaN3J 4NL, 4835736, RHU42@email.com, Reece Newman, [], Female, [], False, False, True, True, None, Chapel + Prayer room, False, False, False, [], [], [], [], [], [], 
43, A, X782Y5940, 60, 12.96, 28, 42, 10, 3 Wilkinson CapeReecemouthCH7 4SX, 9124711, RHU43@email.com, Mr Conor Smith, [], Female, [], False, True, True, False, Rail + Bus, Chapel, False, False, False, [], [], [], [], [], [], 
44, C, X4699Y600, 180, 51.31, 28, 65, 1, Flat 36UMorgan TurnpikeSouth LindaBA85 5US, 6153444, RHU44@email.com, Mrs Lynne Evans, [], Female, [], True, False, False, True, Rail + Bus, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
45, D, X8354Y8967, 365, 58.3, 28, 59, 3, 40 Stuart RoadSaundersbergM2E 4JN, 4403674, RHU45@email.com, Mathew Lynch, [], Mixed, [], False, True, False, True, Rail + Bus, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
46, B, X4364Y9552, 365, 21.74, 28, 51, 1, 96 Mathew DrivesThompsonfurtS8B 9EE, 7427632, RHU46@email.com, Lewis Norman-Hunter, [], Male, [], False, True, False, True, Rail, Chapel + Prayer room, True, False, False, [], [], [], [], [], [], 
47, B, X2394Y8024, 365, 12.17, 28, 43, 7, Studio 9Fisher KeysNorth JacquelineportRM0N 1UA, 5269817, RHU47@email.com, Leonard Walker, [], Male, [], False, True, True, False, Bus, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
48, B, X289Y7143, 60, 63.42, 28, 46, 4, 4 Benjamin LandingSouth TerryvilleW83 9JS, 4662650, RHU48@email.com, Leonard Peacock, [], Mixed, [], True, True, True, False, Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
49, D, X5394Y3716, 60, 98.61, 28, 60, 5, 32 Scott CommonTomfortNW60 5FX, 1574980, RHU49@email.com, Hannah Owen, [], Female, [], False, False, True, False, Rail + Bus, Chapel, True, False, False, [], [], [], [], [], [], 
50, D, X49Y6789, 180, 40.36, 28, 71, 1, 964 Katie MountainEast CarolinehavenDA5R 7PF, 7256627, RHU50@email.com, Joan Lowe, [], Male, [], True, True, False, False, Rail + Bus, None, True, False, False, [], [], [], [], [], [], 
51, D, X9238Y2889, 60, 46.11, 28, 67, 9, 93 Keith MillsEast BernardburghB67 6EP, 7374444, RHU51@email.com, Kirsty Law, [], Female, [], True, True, False, False, Bus, None, False, False, False, [], [], [], [], [], [], 
52, B, X275Y4888, 60, 79.2, 28, 55, 3, Studio 75Shirley InletEast BillyburghRG4 4WB, 2526392, RHU52@email.com, Gary Wood, [], Female, [], True, True, False, False, Bus, Chapel + Prayer room, False, False, False, [], [], [], [], [], [], 
53, A, X3205Y676, 180, 36.63, 28, 76, 5, 1 Andrew FordsWest LucyfortLD1B 8AU, 3815801, RHU53@email.com, Mrs Barbara Marsh, [], Female, [], False, False, False, True, Rail, Prayer room, True, True, True, [], [], [], [], [], [], 
54, D, X7828Y7709, 90, 42.95, 28, 50, 8, 76 Wilson MeadowGrahamportNP21 9BA, 1501229, RHU54@email.com, Mr Geoffrey Reynolds, [], Male, [], True, False, False, False, Bus, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
55, B, X5327Y4009, 90, 88.58, 28, 65, 2, 66 Sarah FreewayRobinsontownCT3Y 0QA, 8522127, RHU55@email.com, Laura Curtis, [], Male, [], True, False, False, False, Bus, Chapel + Prayer room, False, True, True, [], [], [], [], [], [], 
56, A, X2098Y479, 365, 73.37, 28, 68, 8, 13 Farrell CirclesTerencemouthE92 0BX, 5547449, RHU56@email.com, Mr Dylan Wood, [], Female, [], False, False, True, True, Bus, Prayer room, False, True, True, [], [], [], [], [], [], 
57, D, X7641Y2, 180, 49.71, 28, 47, 10, Flat 1Hayley SummitClaremouthN96 1AZ, 9616897, RHU57@email.com, Jodie Chan-Marsden, [], Male, [], False, False, True, False, Rail, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
58, D, X2437Y3435, 180, 99.96, 28, 72, 9, 69 Anne NeckSouth LeahS0G 0AP, 8016834, RHU58@email.com, Elliot Baker, [], Mixed, [], True, False, False, False, None, None, False, False, True, [], [], [], [], [], [], 
59, B, X4850Y8568, 180, 54.41, 28, 63, 10, 3 Bentley RapidDixonsideW2 0ZG, 1473717, RHU59@email.com, Louis Taylor, [], Mixed, [], True, False, False, True, None, None, False, False, True, [], [], [], [], [], [], 
60, D, X4977Y5068, 365, 90.95, 28, 64, 5, 7 Joshua VilleNew TrevorportTS3 7FU, 9844549, RHU60@email.com, Dr Edward Wright, [], Female, [], True, False, False, False, Rail, Prayer room, True, False, False, [], [], [], [], [], [], 
61, D, X3310Y7230, 90, 91.87, 28, 67, 10, 499 Antony PointJillfurtS9H 1JL, 3187891, RHU61@email.com, Glenn Evans, [], Male, [], True, False, True, False, None, Chapel, True, True, True, [], [], [], [], [], [], 
62, C, X5188Y2696, 365, 14.4, 28, 43, 5, 96 Fisher CornerWest PamelaZE77 8EQ, 7179357, RHU62@email.com, Michael Richards-Ross, [], Female, [], False, False, False, True, None, None, True, True, False, [], [], [], [], [], [], 
63, A, X5074Y543, 365, 95.47, 28, 41, 4, 32 Stephenson ForkCarolbergN7W 8EQ, 4624459, RHU63@email.com, Mrs Josephine Green, [], Mixed, [], True, False, False, False, Rail, None, False, True, True, [], [], [], [], [], [], 
64, D, X7137Y1983, 180, 75.90, 28, 42, 5, Studio 3Oliver IsleWest SharontonB57 0NT, 4716821, RHU64@email.com, Alexandra Wilson-Campbell, [], Male, [], False, True, True, True, Bus, Chapel + Prayer room, True, True, True, [], [], [], [], [], [], 
65, B, X5051Y6786, 60, 100.0, 28, 63, 3, 4 Sharpe CourtsNorth ShaunBB8 3ZN, 4690569, RHU65@email.com, Ms Hannah Gilbert, [], Mixed, [], True, False, True, True, Rail, None, False, False, False, [], [], [], [], [], [], 
66, D, X4264Y5410, 180, 22.94, 28, 76, 10, 8 Jackson FallsLloydfurtM6D 2NR, 4888484, RHU66@email.com, Lynne Rose, [], Male, [], False, True, False, False, None, Chapel, True, False, True, [], [], [], [], [], [], 
67, C, X4934Y2311, 365, 59.54, 28, 44, 3, Studio 94LJenkins PinesLake EricburghLU4 8XY, 9925086, RHU67@email.com, Alex Dyer-Rahman, [], Male, [], False, True, True, True, Rail, None, True, False, False, [], [], [], [], [], [], 
68, C, X4992Y3515, 90, 19.47, 28, 43, 4, Flat 59Oliver LodgePopeburghTQ62 4HN, 8537690, RHU68@email.com, Judith Barrett, [], Male, [], True, True, False, True, None, Prayer room, True, True, False, [], [], [], [], [], [], 
69, D, X8864Y1658, 180, 48.3, 28, 45, 1, Studio 79zMalcolm FlatsGillianportG36 5DG, 3010836, RHU69@email.com, Damien Wilson, [], Female, [], True, False, True, True, Bus, Prayer room, False, False, False, [], [], [], [], [], [], 
70, C, X1377Y180, 365, 71.97, 28, 67, 1, 0 Fleming VistaNorth AlexvilleM7 5WX, 4250775, RHU70@email.com, Jean Richards, [], Female, [], False, False, False, False, Rail, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
71, C, X7379Y57, 90, 77.65, 28, 38, 7, Flat 65WWheeler LaneSouth AnthonyburghE95 4WP, 7311927, RHU71@email.com, Bethany White, [], Male, [], True, False, True, True, Rail + Bus, Prayer room, False, False, False, [], [], [], [], [], [], 
72, C, X1479Y1850, 180, 44.35, 28, 75, 9, Flat 1Victor KeyWest FrancisG1 0FZ, 5470146, RHU72@email.com, Mrs Amber Cooper, [], Male, [], True, True, True, True, Rail, None, True, True, False, [], [], [], [], [], [], 
73, D, X3740Y278, 365, 70.40, 28, 76, 1, Flat 72Carter GardensEllieboroughIP66 0HF, 7589361, RHU73@email.com, Roy Jackson, [], Female, [], True, True, True, True, Rail, Prayer room, False, True, False, [], [], [], [], [], [], 
74, C, X2759Y1569, 365, 16.55, 28, 63, 2, Studio 76qDenis PikeSouth HayleyS38 0YF, 8278925, RHU74@email.com, Melissa Cook-Sutton, [], Female, [], False, True, False, False, None, Chapel, True, True, False, [], [], [], [], [], [], 
75, C, X196Y7570, 60, 46.0, 28, 55, 10, 64 Wayne SquareEast MohamedfortN08 5FL, 3929517, RHU75@email.com, Claire Middleton, [], Male, [], True, True, False, True, Rail, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
76, C, X6716Y2121, 365, 21.92, 28, 64, 9, 540 Lewis SummitSouth CherylmouthSA1 6QL, 9391672, RHU76@email.com, Amber Moran-Gray, [], Male, [], False, True, True, True, Bus, Chapel, False, False, False, [], [], [], [], [], [], 
77, D, X9179Y5090, 90, 30.11, 28, 41, 7, Studio 00Hayes ParkSouth SarahTW54 0JB, 3382613, RHU77@email.com, Amy Marshall, [], Male, [], True, True, False, False, Rail, None, True, True, False, [], [], [], [], [], [], 
78, B, X4789Y1776, 365, 80.7, 28, 46, 8, 5 Arnold FerrySouth LeeBH8 5GG, 1964018, RHU78@email.com, Daniel Singh, [], Female, [], True, False, False, False, Bus, Prayer room, False, False, True, [], [], [], [], [], [], 
79, D, X3508Y4287, 180, 41.92, 28, 49, 6, 670 Charles GlensAshleighshireE5 7BQ, 4862055, RHU79@email.com, Lindsey Carroll-Willis, [], Mixed, [], False, True, False, True, None, Prayer room, False, True, False, [], [], [], [], [], [], 
80, A, X5059Y1819, 365, 66.22, 28, 60, 6, Flat 43BRees ValleysPort BriansideB28 2YJ, 9446166, RHU80@email.com, Ms Stephanie Riley, [], Female, [], True, True, True, False, None, Chapel, True, True, False, [], [], [], [], [], [], 
81, A, X4379Y680, 90, 93.32, 28, 46, 9, Flat 41IBilly SkywayPort SharonchesterW0F 2WR, 3545668, RHU81@email.com, Joseph Berry, [], Female, [], True, False, True, True, Bus, None, False, True, False, [], [], [], [], [], [], 
82, C, X1748Y9557, 365, 57.49, 28, 45, 8, 6 Adrian ForgesSallyhavenWF0B 0NU, 4424841, RHU82@email.com, Norman John, [], Female, [], True, True, True, True, Bus, Prayer room, True, True, True, [], [], [], [], [], [], 
83, B, X4131Y4087, 180, 64.24, 28, 77, 9, Studio 4Morgan TurnpikeWest ChristineN02 2YR, 7059990, RHU83@email.com, Dr Kieran Howarth, [], Female, [], False, True, True, True, None, Prayer room, False, False, False, [], [], [], [], [], [], 
84, D, X2918Y6692, 365, 95.32, 28, 64, 1, Studio 86ySmith AlleyPhillipsfortRH5B 4PT, 7843207, RHU84@email.com, Damien Wong, [], Female, [], True, False, True, True, Rail + Bus, None, False, True, True, [], [], [], [], [], [], 
85, D, X4732Y9814, 60, 99.87, 28, 49, 7, Flat 00Buckley LockHillmouthM03 9XQ, 2126035, RHU85@email.com, Dr Grace Shaw, [], Female, [], False, True, True, False, None, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
86, C, X5802Y4245, 60, 60.61, 28, 56, 4, 257 Kerry GardenNorth RogersideG2A 5LD, 8205819, RHU86@email.com, Tony Lawson, [], Male, [], False, False, True, True, Bus, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
87, A, X4389Y2765, 90, 29.40, 28, 60, 1, Studio 03Angela HillsWest JoyceN53 6PJ, 3364405, RHU87@email.com, Janet Williams, [], Female, [], True, True, True, True, Rail + Bus, None, False, False, False, [], [], [], [], [], [], 
88, C, X3280Y464, 180, 78.67, 28, 46, 9, 64 Lewis CenterWest LeanneAB1A 5FD, 5326453, RHU88@email.com, Mrs Amy North, [], Male, [], False, True, True, False, None, Chapel, False, False, False, [], [], [], [], [], [], 
89, C, X2310Y7762, 365, 12.32, 28, 41, 4, Flat 1Dawn StreetPort LyndaRM3 6ZH, 8835982, RHU89@email.com, Ricky Webb, [], Mixed, [], False, False, False, True, None, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
90, B, X3456Y1976, 365, 95.75, 28, 64, 10, Studio 48Gary LoafLouisesideNE72 0LL, 3988621, RHU90@email.com, Martyn Williams, [], Female, [], False, False, True, False, None, None, True, True, False, [], [], [], [], [], [], 
91, A, X7924Y5873, 365, 73.3, 28, 66, 2, 7 Bradley TrailEast IanburghM1 5WY, 3495489, RHU91@email.com, Kayleigh Morgan, [], Mixed, [], False, True, True, False, Rail + Bus, Chapel + Prayer room, False, True, True, [], [], [], [], [], [], 
92, A, X6735Y4006, 180, 77.82, 28, 38, 10, Studio 6Byrne FallsSouth NatashaG1C 9ZL, 1734705, RHU92@email.com, Katy Watkins, [], Female, [], False, True, True, False, Rail, None, True, True, True, [], [], [], [], [], [], 
93, D, X3701Y5240, 90, 74.52, 28, 70, 9, Flat 47sAlan CrossingWest CharlotteburyW0S 3GS, 1436522, RHU93@email.com, Dr Peter Abbott, [], Female, [], True, True, True, True, Rail + Bus, None, False, True, False, [], [], [], [], [], [], 
94, D, X8460Y7818, 60, 30.65, 28, 59, 8, Studio 71Gerard MallNorth SandraburyG4E 9DF, 9111265, RHU94@email.com, Mrs Ellie Francis, [], Mixed, [], True, False, True, False, None, Chapel + Prayer room, True, False, False, [], [], [], [], [], [], 
95, C, X6949Y1283, 365, 96.35, 28, 58, 10, Flat 46OSimon MountNorth GeorginavilleSR3A 2HT, 2279147, RHU95@email.com, Sophie Williams, [], Mixed, [], False, False, True, True, Bus, Chapel + Prayer room, False, False, False, [], [], [], [], [], [], 
96, A, X805Y6641, 90, 29.30, 28, 38, 7, 05 Vanessa DriveDavisportWD8 7AW, 7973175, RHU96@email.com, Terence Bray, [], Female, [], True, False, False, False, Bus, Chapel, True, True, True, [], [], [], [], [], [], 
97, C, X6767Y6415, 180, 33.78, 28, 58, 2, Flat 58dMaurice MissionJodieportE9 4BH, 9993553, RHU97@email.com, Ms Shannon Morris, [], Mixed, [], False, True, True, False, None, Chapel, True, False, True, [], [], [], [], [], [], 
98, C, X3238Y945, 180, 39.52, 28, 54, 8, 2 Smith ViewLake ClaireboroughTD8 6YY, 7459165, RHU98@email.com, Jacob Fletcher, [], Mixed, [], False, True, True, False, None, Chapel + Prayer room, True, False, True, [], [], [], [], [], [], 
99, A, X4364Y9932, 365, 49.46, 28, 39, 7, Flat 84wJulia CommonNew DalestadBD7 6DU, 4413881, RHU99@email.com, Leah Cox, [], Male, [], False, False, True, False, None, Chapel, True, True, True, [], [], [], [], [], [], 
100, C, X6864Y9072, 90, 73.8, 28, 70, 3, 156 Zoe MewsAlexfurtNG6V 4RN, 4135761, RHU100@email.com, Jeremy Jones, [], Male, [], True, True, True, True, Rail + Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
101, B, X1965Y7041, 90, 26.73, 28, 44, 4, Flat 50HLowe RouteSmithstadBN19 3QR, 2376544, RHU101@email.com, Mr Christopher Pearce, [], Male, [], True, False, True, False, None, None, False, True, True, [], [], [], [], [], [], 
102, C, X788Y8997, 90, 12.50, 28, 60, 3, Flat 9Ellis FallGeraldmouthKA7 8GP, 4082307, RHU102@email.com, Josh Jackson-Abbott, [], Mixed, [], True, False, True, False, Rail + Bus, Prayer room, False, True, True, [], [], [], [], [], [], 
103, D, X7652Y3315, 365, 58.77, 28, 67, 6, Studio 4Barry LandingSouth DouglasS93 1ZU, 1255942, RHU103@email.com, Dawn Hopkins-Hale, [], Female, [], True, True, True, True, Bus, None, True, False, True, [], [], [], [], [], [], 
104, C, X5531Y5697, 60, 41.47, 28, 76, 1, Flat 95Lambert PortRitachesterLL7 2RJ, 3330229, RHU104@email.com, Deborah White-Hill, [], Male, [], False, True, True, False, Bus, Prayer room, False, True, False, [], [], [], [], [], [], 
105, C, X4226Y1101, 180, 62.4, 28, 58, 4, 5 Sara GreenJudithviewS6K 6RZ, 6703494, RHU105@email.com, Adam Miller-Smith, [], Female, [], False, False, True, False, Bus, None, True, False, True, [], [], [], [], [], [], 
106, B, X8153Y8692, 180, 99.19, 28, 41, 9, Flat 79Robinson MillsNew DianaburghL9J 4XR, 4550093, RHU106@email.com, Bryan Barlow-Turner, [], Mixed, [], True, True, False, True, Rail + Bus, Chapel + Prayer room, False, False, True, [], [], [], [], [], [], 
107, D, X1727Y3045, 180, 40.88, 28, 60, 4, Studio 51bHowarth PrairieGreenfortST07 1LU, 2076101, RHU107@email.com, Chloe Wilson-Barker, [], Male, [], True, True, False, True, Rail, Prayer room, True, True, False, [], [], [], [], [], [], 
